rank,gss
3240,E01013443
4338,E01013349
5074,E01013399
5520,E01013448
5532,E01013347
5567,E01013386
6215,E01013367
6434,E01013447
6732,E01013445
6828,E01013335
7407,E01013394
7510,E01013350
7902,E01013416
8809,E01013444
9149,E01013382
9379,E01013385
9820,E01013410
9912,E01013366
10688,E01013353
11009,E01013359
12093,E01013383
12390,E01013446
13024,E01013384
13960,E01013398
14164,E01013404
14861,E01013437
15218,E01013369
15341,E01013391
16041,E01013441
16554,E01013442
16765,E01013336
16766,E01013390
16836,E01013418
17183,E01013363
17541,E01013346
17552,E01013396
18069,E01013401
18550,E01013345
18969,E01013415
19299,E01013412
19450,E01013364
19796,E01013449
20005,E01013400
21145,E01013392
21465,E01013343
21514,E01013419
21675,E01013428
21800,E01013417
21941,E01013406
21942,E01013393
22139,E01013409
23309,E01013356
23464,E01013380
23658,E01013344
23729,E01013338
23736,E01013373
24193,E01013381
24225,E01013421
24616,E01013339
24734,E01013368
24743,E01013407
24910,E01013438
25100,E01013413
25403,E01013422
25524,E01013362
25673,E01013341
25697,E01013342
26200,E01013411
26272,E01013414
26315,E01013397
26783,E01013395
27020,E01013450
27214,E01013431
27225,E01013403
27460,E01013435
27690,E01013337
27884,E01013434
28028,E01013405
28038,E01013388
28103,E01013430
28367,E01013426
28369,E01013365
28433,E01013348
28501,E01013436
28779,E01013432
28791,E01013408
28864,E01013370
28992,E01013355
29120,E01013429
29276,E01013351
29811,E01013372
29918,E01013389
29931,E01013361
30008,E01013425
30233,E01013420
30262,E01013377
30382,E01013378
30427,E01013354
30536,E01013376
30813,E01013451
31331,E01013433
31373,E01013352
31542,E01013402
31663,E01013440
31710,E01013387
31855,E01013358
31885,E01013340
31896,E01013357
31922,E01013423
31929,E01013379
32079,E01013360
32135,E01013375
32246,E01013374
32307,E01013427
32310,E01013439
32385,E01013371
32420,E01013452
32427,E01013424
