gss,rank
E01013443,1
E01013349,2
E01013399,3
E01013448,4
E01013347,5
E01013386,6
E01013367,7
E01013447,8
E01013445,9
E01013335,10
E01013394,11
E01013350,12
E01013416,13
E01013444,14
E01013382,15
E01013385,16
E01013410,17
E01013366,18
E01013353,19
E01013359,20
E01013383,21
E01013446,22
E01013384,23
E01013398,24
E01013404,25
E01013437,26
E01013369,27
E01013391,28
E01013441,29
E01013442,30
E01013336,31
E01013390,32
E01013418,33
E01013363,34
E01013346,35
E01013396,36
E01013401,37
E01013345,38
E01013415,39
E01013412,40
E01013364,41
E01013449,42
E01013400,43
E01013392,44
E01013343,45
E01013419,46
E01013428,47
E01013417,48
E01013406,49
E01013393,50
E01013409,51
E01013356,52
E01013380,53
E01013344,54
E01013338,55
E01013373,56
E01013381,57
E01013421,58
E01013339,59
E01013368,60
E01013407,61
E01013438,62
E01013413,63
E01013422,64
E01013362,65
E01013341,66
E01013342,67
E01013411,68
E01013414,69
E01013397,70
E01013395,71
E01013450,72
E01013431,73
E01013403,74
E01013435,75
E01013337,76
E01013434,77
E01013405,78
E01013388,79
E01013430,80
E01013426,81
E01013365,82
E01013348,83
E01013436,84
E01013432,85
E01013408,86
E01013370,87
E01013355,88
E01013429,89
E01013351,90
E01013372,91
E01013389,92
E01013361,93
E01013425,94
E01013420,95
E01013377,96
E01013378,97
E01013354,98
E01013376,99
E01013451,100
E01013433,101
E01013352,102
E01013402,103
E01013440,104
E01013387,105
E01013358,106
E01013340,107
E01013357,108
E01013423,109
E01013379,110
E01013360,111
E01013375,112
E01013374,113
E01013427,114
E01013439,115
E01013371,116
E01013452,117
E01013424,118
